city,car_r_deu,car_m_deu,bike_deu,walk_deu,pt_r_deu,pt_m_deu,n_consid
Adelaide,1.558827964519224,1.558827964519224,1.353643641727033,0.9434051421021634,1.8709122735315744,1.9728854970471157,4184
Amsterdam,4.280743849851843,4.280743849851843,1.6611198415845763,1.221810980640411,3.513458346215206,3.430043003152896,3761
Auckland,3.0982943990513463,3.0982943990513463,2.0640739972246918,1.3184015950448464,2.141197345576347,2.3777522266831026,2612
Barcelona,3.1401619931290052,3.1401619931290052,1.4925714966416221,0.9540248485966576,2.208762293652696,2.1874851769172974,2540
Berlin,1.945317005048063,1.945317005048063,1.6713069029903616,0.9205283914315052,2.1705094111536734,2.1390930034832776,5187
Birmingham,2.754519387986315,2.754519387986315,1.7038513205170929,1.027195418436904,1.7118157517362274,1.7734923369109676,5101
Bogota,2.3013048400085436,2.3013048400085436,1.4676527218345488,1.0458012211483303,-4.028049176092388,-4.028049176092388,3192
Brussels,2.770548957261705,2.776312996434521,1.2394554004238474,0.7337444348087202,3.0505891514351067,3.0187364932862186,3747
Budapest,2.685798461295283,2.685798461295283,2.182494043491859,1.1180393832650188,2.6922526864585303,2.684280488370765,3638
Buenos Aires,2.3446670797989837,2.346336226979905,1.539923790511879,0.841686866086051,-4.0044502969907025,-4.0044502969907025,2902
Calgary,2.562973949968156,2.562973949968156,1.8603412543699123,1.3656582562298176,2.1224521624068684,2.0922737964191915,4683
Chicago,1.869427099252864,1.869427099252864,1.1327990490567281,0.8209375621037367,2.4582872757926584,2.8637734042034007,3289
Copenhagen,1.5536878997129657,1.5536878997129657,1.270006859930395,0.7678694874602088,2.403910866993905,2.303176185725646,3090
Dallas,2.16568813827926,2.16568813827926,1.3292165722124651,0.9813055864216841,2.3225100281376068,2.27350813816487,4894
Delhi [New Delhi],2.992770773688792,2.992770773688792,1.9239917805200417,1.4265315469914586,3.9018284880879692,3.8808792931595746,5211
Dublin,1.8837429136989534,1.8837429136989534,1.6249974688529902,0.9046805311334964,1.9287373171120141,1.9502716111175573,3479
Gothenburg,3.255933407002675,3.255933407002675,1.6488744648385087,1.2218591892497952,1.4222766109816758,1.529320304326551,2637
Hamburg,3.302019984689726,3.302019984689726,1.7838329582195556,2.0894704844224767,3.020988241930997,3.0712643630441074,4912
Helsinki,2.861711105655728,2.861711105655728,1.6589208658230123,1.286999510858559,2.225786900535521,2.2552041637941094,2241
Houston,2.9424427329387326,2.9424427329387326,1.7579670580670097,1.1629459952246908,2.3563453584859846,2.338099804138534,5216
Kuala Lumpur,3.1794805540790447,3.1794805540790447,2.680837220339085,1.6908460039170605,-4.03170029286894,-4.03170029286894,5159
Lisbon,3.079799335234491,3.079799335234491,1.6999047276544572,1.0917649031989585,2.476426997737703,2.59539277409828,2637
London,1.867044389453642,1.867044389453642,1.398952324661741,0.9098417151609354,2.241556438132009,2.3815004672606603,5121
Los Angeles,2.3613557606934044,2.3613557606934044,1.4015386769674298,0.9999465603544525,2.2239300420676313,2.253528833640811,5219
Madrid,2.561974019852156,2.561974019852156,1.6270394288095098,0.9723703803988263,2.5118229689233162,2.4019600300826633,4949
Marseille,3.165554096387554,3.165554096387554,1.6008130136007537,1.126824068977666,2.2317120850597836,2.4075153963344382,2700
Melbourne,2.2310493393711104,2.2310493393711104,1.4466022752043142,0.9525110037652847,2.095117497210583,1.9601816952281497,4515
Mexico City,2.774902042911561,2.774902042911561,1.9275284965890673,1.1159600206326363,2.039992315054186,2.039992315054186,5217
Montreal,2.8559196047026454,2.8559196047026454,2.212238598330453,2.107071071975766,3.0101712651283017,3.4247572626580833,4400
New York,2.7792119319660626,2.7792119319660626,1.9893474486284497,1.1390046056605607,2.039660737440864,2.042660373213764,5211
Oslo,2.729630408276897,2.729630408276897,1.545727137197181,1.3544647284743305,1.9364434955485812,1.9712750276111275,2619
Paris,2.9801713841890756,2.9794409186843733,0.9476908010642042,0.6913120807212059,-1.0028383578290931,-0.9886947125353581,5178
Perth,2.1314548488908884,2.1314548488908884,1.9943426739074404,1.3736890437689513,2.2777987950280787,2.282198041722243,5061
Philadelphia,2.752528190326435,2.752528190326435,1.6744021465212704,0.9906596256223882,1.8139842821458856,1.7610944374841466,5167
Phoenix,2.0354340968625317,2.0354340968625317,1.6957644782244827,1.2607233548735408,2.4832363925347254,2.521665633724166,4669
Portland,2.650368681552542,2.650368681552542,1.653355258424531,1.4725151247855741,2.5589589283274665,2.561230793384563,4750
Prague,2.4985430230732435,2.4985430230732435,1.9119312545936915,0.9978535473384561,4.044739562078035,4.152867612981196,3833
Riga,2.3871445312840285,2.3871445312840285,1.9281551338702207,1.1821990933618138,2.1854932618604725,2.211501500143882,2556
Rio de Janeiro,2.8097921437834446,2.8097921437834446,2.309275629003725,1.2896611765633579,2.196847074114836,2.2363630482519086,2007
Salvador,3.161828555205982,3.1618392247690084,2.151058434928638,1.400009769732179,-5.012882621727486,-5.012882621727486,1756
San Antonio,2.110916408588809,2.110916408588809,1.6654285327830087,0.9064269533693519,1.7795388586702252,1.9049806772965359,4387
Santiago,2.4296237754427077,2.4296237754427077,1.673549763998718,0.8753062463928373,1.8919253654878099,1.8919253654878099,4962
Stockholm,3.101735434933068,3.101735434933068,1.8231653614008239,1.677804755049013,2.626235135132232,2.6311824079192765,3669
Sydney,4.730287348835913,4.730287348835913,1.7549766165760314,1.1313160466244008,2.157895849049548,2.0483117135055005,3963
Ṣo Paulo,2.8763741202453703,2.8763741202453703,1.88701135603844,0.9867584567976644,4.04354294005387,2.759314085538751,5211
Toronto,2.7552927849541193,2.7552927849541193,1.8630256703156989,1.1707219410993435,2.336864439129817,2.5455557672796325,3516
Utrecht,5.150764848802206,5.152780683292891,1.3404436708200234,1.2512275361042964,2.618898480702885,2.49344825905199,1864
Vienna,2.726254130836098,2.727073925565508,1.6324090142264638,1.0703146878763112,2.3440327770794114,2.3663888126199444,4381
Warsaw,2.3766018489432725,2.3766018489432725,1.6841506694367,1.2118518235425604,1.9060606401576643,1.9232113401030002,4776
