city,bike_pop,pt_r_pop,pt_m_pop,car_r_pop,car_m_pop,walk_pop,n_consid
Luxembourg,100.00000002280625,83.69738338063533,84.50566771835803,99.22200564330194,100.00000002280625,50.722304756361794,671
York,99.99999998436354,85.10684494714305,84.41077351096591,99.99999998436354,99.99999998436354,40.2255279495867,640
Bern,99.44208034209876,86.86571555432823,89.49550357726977,99.78079402071049,99.8548407174659,28.58772415268465,1072
Aarhus,99.29509387636546,88.94344516833105,90.42049742048528,99.85766048221501,99.85766048221501,32.46848229410461,1151
Graz,98.52863840402219,28.646063739428996,28.646063739428996,98.99182129780472,99.24630449008174,30.86050503794251,1168
Wellington,98.49998828526383,72.16287122635579,74.71144997372285,99.67480440450818,99.99999997085784,32.492689080865446,713
Brussels,88.45753038541137,48.09071411095799,49.25364071561091,35.085492407296584,57.26735002591583,14.877183630622195,3747
Tallinn,85.55705417376429,71.0445175008214,70.84626401498724,91.12304348419063,91.45864809351569,16.50078414738264,1463
Copenhagen,82.8264764186698,73.63202696376206,75.58800249640983,88.56608851432539,97.22563980323842,16.096909577085373,3090
Utrecht,82.14837929289241,60.03078194623127,62.221139280554716,49.962713931384236,63.6032413638315,17.738953035220096,1864
Riga,77.35011146368488,45.83922944425444,47.78319461055428,84.5048583138404,85.75584131390713,11.73806121715084,2556
Gothenburg,74.57488044258113,73.64704388263252,75.33261597953987,95.67030213377754,97.94057779404531,14.829969356889169,2637
Marseille,73.39329238529795,40.57232768753698,42.63351078831613,77.63831626013135,88.89065137910372,12.285220037992778,2700
Oslo,72.49203515713911,62.884720101179404,61.4664017268659,64.30900644096278,89.73593757933835,10.98049181562288,2619
Barcelona,69.76770821666004,54.955462097502696,53.60190211023323,38.34415557441852,51.924398072730426,9.837609458559308,2540
Stockholm,69.6312116709162,29.399359800301134,31.221249117805293,87.42564598642868,97.66784591379582,12.529208201243442,3669
Mumbai,69.14825491716444,93.83235929289471,89.24318737580185,28.50746517018375,25.13301646806441,12.924875878925695,899
Dublin,66.564123066147,47.35819633542082,49.05520954599025,28.901501689998803,41.381072914317485,14.521617053985997,3479
Adelaide,64.90379356497738,37.62463463880164,49.76141715494437,90.14044114044033,97.04023735524581,4.138992625407153,4184
Paris,64.86070140313868,12.327395438181576,11.81047374138411,27.187872616276245,40.01577279012879,7.266442952925875,5178
Sydney,62.68077801064219,47.72842710498683,55.41316245060263,60.99025266830951,75.757246275147,10.045046516011807,3963
Amsterdam,62.620705147891655,39.46909063115033,38.32902149875034,59.95105477334863,64.00202497669622,8.763447140877403,3761
Madrid,61.86082434839408,26.368098572899857,27.883464830128062,40.41865822017379,82.94574468016522,6.98214749597711,4949
Salvador,61.34553279604952,,,89.91263737778932,31.635080758505456,5.1188063573934315,1756
Philadelphia,61.026240098310915,63.96006630885892,63.440645964337286,97.85834001204991,80.50195928332336,8.71564829093414,5167
Warsaw,60.39691706541953,40.76898097450365,42.85220507511055,40.30820924029751,71.21903828176673,7.370079478236979,4776
Toronto,60.126060655436845,36.31896952199691,35.14939031585826,95.24085409602291,79.01931511242778,13.247782506930678,3516
Chicago,59.64521515792743,45.475490773352966,49.443485956523254,99.77409719353581,89.69245539446587,8.750430844812504,3289
Bogota,59.299902206764834,7.266821385419621,7.266821385419621,97.82463982778341,97.82463982778341,7.346199156103564,3192
Melbourne,57.85005903887146,40.33828266865457,42.605648244075226,47.136182685785315,67.61397542668979,8.019477301473614,4515
London,57.259631852413186,61.907303507864555,58.516153800076154,19.691796195715806,23.934940600845938,3.494027179536247,5121
Portland,55.82437767133984,43.67200640895773,35.2402550432168,99.98776288998368,99.98776288998368,7.001798731650771,4750
Vienna,55.79076440541466,42.544937501928224,40.764812533630504,31.55114412695706,47.58566826816203,7.060658592185944,4381
Los Angeles,55.665260303454765,40.04200837172295,36.762467977446285,99.95428452820498,99.78786937056282,4.328457217643993,5219
San Antonio,55.24064940069295,45.10986340747426,43.46006684664602,99.99999999236019,99.99999999236019,4.271854403139544,4387
Budapest,54.94945329803856,37.37359550083817,38.64947400431035,36.415323809568804,51.56140597328622,6.754217847168291,3638
Auckland,54.6453130058554,29.01235065242127,31.67884269421024,90.0819247871459,99.99999999244616,12.320248891319652,2612
Dallas,54.2611362415464,34.36374601729453,32.10649838978385,99.99676528065511,99.99676528065511,4.541549277723044,4894
Birmingham,53.543832110969255,39.4521248992252,37.84105768648278,56.718751962504335,67.81505518685394,4.576879478439662,5101
Buenos Aires,52.99092699607314,6.309066576133322,6.309066576133322,82.48009528923716,23.180013501888897,7.310361695026005,2902
Helsinki,52.98515282462197,42.930147024608665,40.540577635457495,73.26831042139894,77.47449575212518,11.342624959994438,2241
Houston,51.298568000154596,34.81595481930413,32.358584541217276,99.97735398625416,99.9768750711458,5.402269073341281,5216
Prague,50.893044162172494,7.159874332964826,7.440020824506428,35.48396737052295,63.84657826326856,7.173782275201044,3833
Berlin,50.56489706087458,41.812860328492626,41.61959763169226,34.85178219815086,50.46172728095897,5.152373988321658,5187
Hamburg,49.70496065020909,40.040842467836576,38.70460300036892,44.358099108073176,58.186250053880386,5.232893421662764,4912
Montreal,49.36108369589689,15.712170346560434,11.733372095087482,95.93413383165237,67.04975081151446,4.284223792972988,4400
Perth,48.65792613198616,31.687107113976452,39.1692568775964,88.5336243048166,93.8427563625633,4.2889811551211565,5061
Mexico City,48.59618077104968,15.794128663081827,15.794128663081827,74.5396168744327,59.153569690739815,4.8033151725172845,5217
Calgary,48.07761146449651,44.64458822156455,45.711695474442664,100.00000000444322,100.00000000444322,8.970702046919875,4683
Phoenix,47.60690591302187,22.55015315129102,22.27946367736358,99.995953677409,99.99570638314684,4.62726007333355,4669
Ṣo Paulo,46.01613297916765,16.70769245782024,21.640019067644612,68.87285760771982,22.72657950209585,7.608333798737508,5211
Santiago,45.25472210450043,18.591190479022774,18.591190479022774,99.54147037576097,99.54147037576097,3.6315850993451844,4962
Delhi [New Delhi],43.63093782699703,33.26521595217273,30.65829347002378,4.2278334009500265,4.355226977346814,4.334120874554801,5211
Lisbon,42.76386652367392,52.347433819720244,48.138757706376836,35.911723239870255,18.35800187107943,7.274723885159595,2637
Rio de Janeiro,41.428971497416626,47.62842165596307,47.788093196768564,86.44994511112176,19.6860949401683,6.590224351639047,2007
New York,39.59739967646811,41.56431435026422,48.32252725454278,73.65705173248985,32.49461163885574,5.369836775015686,5211
Kuala Lumpur,32.63054698340224,2.8486474268155217,2.8486474268155217,60.414308995895794,81.39214931938783,2.563818135531944,5159
